url,Bottling_serie,Vintage,Bottled,Number_of_bottles,Strength,Size,Casktype,Bottled_for,Stated_Age,Casknumber,Bottle_code,Calculated_age,Label,Barcode,rating,votes,category,price,distillery,bottler
https://www.whiskybase.com/whiskies/whisky/15931/bowmore-1965,Islay Pure Malt,1965,,,50,750 ml,Sherry Casks,P. Soffiantino & C. S.p.A. Genova,,,,,,,94.76,86,Single Malt,9234.1,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/14330/springbank-1962,White Label Big Golden S,1962,1992,,46,700 ml,Sherry Cask,,29,,,30,,,94.76,40,Single Malt,1850,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/53760/glenglassaugh-1972,Rare Cask Release - Batch 1,1972,2014,582,50.6,700 ml,Refill Sherry Butt,,41,2114,,42,,,94.74,312,Single Malt,1355.06,Glenglassaugh,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/8341/bowmore-1964-black,Final Edition,1964,1995,1812,49,700 ml,Oloroso Sherry Butt,,31,,,31,,,94.73,97,Single Malt,25357.56,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/9531/brora-1972,Rare Malts Selection,1972,1995,,58.7,700 ml,,,22,,,23,,,94.72,97,Single Malt,11073.68,Brora,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/22175/macallan-1970,Fine & Rare,1970,2002,544,54.9,700 ml,Dark Sherry,,,241,,32,,,94.65,37,Single Malt,41400,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/9422/macallan-1955,Rinaldi Import,1955,,,45.85,750 ml,Sherry Wood,,15,,,,,,94.65,36,Single Malt,10226.76,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1295/ardbeg-1972,,1972,2003,246,49.9,700 ml,Oak cask,V.E.L.I.E.R Italy,30,2782,,31,,,94.64,96,Single Malt,6991.21,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/14352/mortlach-70-year-old-gm-generations,Crystal Decanter,1938,2008,54,46.1,200 ml 700 ml 750 ml,"Spanish Oak, ex-Bodega Sherry Hogshead",,70,2656,,70,,,94.64,61,Single Malt,6183.35,Mortlach,Gordon & MacPhail (GM)
https://www.whiskybase.com/whiskies/whisky/54879/mortlach-70-year-old-gm-generations,Crystal Decanter,1938,2008,162,46.1,200 ml,"Spanish Oak, ex-Bodega Sherry Hogshead",,70,2656,,70,,,94.63,21,Single Malt,3808.5,Mortlach,Gordon & MacPhail (GM)
https://www.whiskybase.com/whiskies/whisky/200/bowmore-1957,,1957,,861,40.1,700 ml,,,38,216 - 220,,,,,94.63,38,Single Malt,25312.76,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/15579/highland-park-35-year-old,John Goodwin - Cask Strength,1962,1997,300,50,700 ml,,,35,,,35,,,94.61,43,Single Malt,5779.84,Highland Park,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/14861/glenfarclas-1959,The Family Casks (Release IV),1959,2009,147,48.8,60 ml 700 ml,Sherry Hogshead,,50,1838,,50,,,94.6,37,Single Malt,6450,Glenfarclas,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/9530/brora-1972,Rare Malts Selection,1972,1995,,61.1,700 ml,,,22,,,23,,,94.6,83,Single Malt,10768.14,Brora,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/23004/ardbeg-1967-kb,,1967,1996,,54.6,700 ml,Ex-Sherry Cask,,29,922,,29,,,94.6,49,Single Malt,47700,Ardbeg,Kingsbury (Kb)
https://www.whiskybase.com/whiskies/whisky/9189/tormore-1966-rwd,,1966,1982,,57,750 ml,Sherry Wood,Samaroli,16,,,16,,,94.6,83,Single Malt,44444.84,Tormore,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/16477/highland-park-1958,,1958,1998,665,44,700 ml 750 ml,,,40,,,40,,,94.59,44,Single Malt,11133.97,Highland Park,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/11895/highland-park-1964,Orcadian Vintage Series,1964,2009,290,42.2,700 ml,,,,,,45,,,94.59,49,Single Malt,4712.36,Highland Park,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1306/ardbeg-1976,Manager's Choice,1976,1999,497,56,700 ml,Sherry Butt,,,2391,,23,,,94.58,62,Single Malt,7334.72,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/889/ardbeg-1972,Ping No. 1,1972,2004,245,51.4,700 ml,Bourbon Hogshead,"Juuls Vinhandel, Copenhagen",31,2780,,32,,5010494229271,94.58,63,Single Malt,10000,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/88662/bowmore-1964,Black Bowmore - The Last Cask,1964,2016,159,40.9,700 ml,1st Fill Sherry Casks,,50,3708 & 3714,,52,,,94.57,23,Single Malt,65678.6,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17559/longmorn-1964-rwd,,1964,1983,180,46,750 ml,,Samaroli,,,,19,,,94.56,38,Single Malt,1320,Longmorn,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/17730/port-ellen-1981-rwd,,1981,1991,,57,700 ml,,Imported by S. Samaroli,,,,10,,,94.51,38,Single Malt,1015,Port Ellen,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/15932/bowmore-1965,Islay Pure Malt,1965,,,57.8,750 ml,Sherry Casks,Soffiantino Import,,,,,Cream label printed in grey & red,,94.5,32,Single Malt,1250,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/892/ardbeg-1974,,1974,2002,126,44.5,700 ml,Oak barrel,Oddbins,,3475,,28,,,94.5,58,Single Malt,9950,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/61889/glenglassaugh-1963,,1963,2014,191,41.7,700 ml,Bourbon Barrel,,51,3301,,51,,5060193841960,94.5,24,Single Malt,6148.49,Glenglassaugh,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/20170/macallan-1972,The Anniversary Malt,1972,1998,,43,700 ml 700 ml 750 ml,,,25,,,26,,,94.49,47,Single Malt,5217.07,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1627/ardbeg-1974,,1974,2006,76,53.5,700 ml,Bourbon,,,3328,,32,,,94.47,37,Single Malt,5490,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/53352/dalmore-50-year-old,,,,191,52.8,100 ml,,,50,,,,,,94.47,23,Single Malt,4950,Dalmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/43383/glendronach-1968,Recherché,1968,2013,632,48.6,700 ml,Oloroso Sherry Butt,,44,5,,45,,,94.47,76,Single Malt,6931.98,Glendronach,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/41864/glen-moray-1959-rwd,,1959,1984,240,46,750 ml,Sherry Hogshead Cask,"Samaroli, Brescia",25,,,25,,,94.46,56,Single Malt,1203.61,Glen Moray,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/577/ardbeg-1972,,1972,2004,239,48.3,700 ml,Bourbon Cask,Oddbins,32,866,,32,,5010494226270,94.45,47,Single Malt,6300.29,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/13992/springbank-1966,Local Barley,1966,1998,,55.1,700 ml,Bourbon Oak Cask,,32,492,,32,,,94.45,24,Single Malt,750,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/18250/highland-park-50-year-old,Sterling silver frame - exclusively from Harrods ,1960,2010,275,44.8,700 ml,Five Refill Oak Casks,,50,,,50,,,94.44,58,Single Malt,40514.27,Highland Park,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/23005/ardbeg-1967-kb,,1967,1996,,52,700 ml,Sherry Cask,,29,923,,29,,,94.44,36,Single Malt,47700,Ardbeg,Kingsbury (Kb)
https://www.whiskybase.com/whiskies/whisky/1303/ardbeg-1975,Feis Ile 2006,1975,2006,165,46.3,700 ml,Fino,,,4717,,31,,,94.43,56,Single Malt,8127.15,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/15471/bowmore-1955,Ceramic decanter - commemorate opening Visitor Centre,1955,1974,100,40,375 ml,,,,,,19,,,94.43,24,Single Malt,5785.63,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/633/laphroaig-1980,,1980,2007,972,57.4,700 ml 700 ml,5 Oloroso Sherry Casks,,27,,,27,,,94.43,150,Single Malt,7488.22,Laphroaig,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/8102/glenury-royal-1953,Diageo Special Releases 2003,1953,2003,498,42.8,700 ml,,,50,,,50,,5000281017754,94.43,74,Single Malt,16635.86,Glenury Royal,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/493/laphroaig-1974,La Maison du Whisky,1974,2005,910,49.7,700 ml,Sherry Cask,,31,,,31,,,94.43,110,Single Malt,13529.72,Laphroaig,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1432/ardbeg-1976,Islay festival 2004,1976,2004,504,51.4,700 ml,Sherry butt,,,2398,,28,,,94.42,92,Single Malt,5548.15,Ardbeg,Distillery Bottling
